iter	Passed	Remaining
1243	80645	243491
1244	80712	243434
1245	80779	243374
1246	80849	243325
1247	80917	243271
1248	80983	243209
1249	81051	243153
1250	81117	243093
1251	81182	243030
1252	81246	242961
1253	81314	242904
1254	81382	242850
1255	81450	242793
1256	81518	242739
1257	81591	242698
1258	81664	242657
1259	81738	242619
1260	81810	242577
1261	81882	242533
1262	81953	242485
1263	82023	242435
1264	82096	242396
1265	82174	242368
1266	82251	242339
1267	82329	242314
1268	82401	242268
1269	82471	242219
1270	82546	242182
1271	82618	242139
1272	82691	242099
1273	82762	242051
1274	82828	241988
1275	82893	241925
1276	82962	241870
1277	83028	241810
1278	83095	241749
1279	83168	241707
1280	83242	241669
1281	83309	241610
1282	83374	241546
1283	83440	241483
1284	83511	241436
1285	83580	241383
1286	83648	241325
1287	83717	241271
1288	83787	241223
1289	83857	241170
1290	83928	241123
1291	84000	241077
1292	84071	241031
1293	84139	240973
1294	84205	240913
1295	84273	240856
1296	84345	240809
1297	84415	240760
1298	84499	240748
1299	84577	240720
1300	84653	240685
1301	84736	240673
1302	84816	240649
1303	84890	240608
1304	84967	240578
1305	85038	240529
1306	85107	240475
1307	85175	240419
1308	85245	240366
1309	85320	240330
1310	85419	240360
1311	85496	240328
1312	85573	240295
1313	85651	240267
1314	85727	240232
1315	85798	240182
1316	85871	240139
1317	85942	240090
1318	86037	240109
1319	86117	240084
1320	86199	240066
1321	86277	240036
1322	86375	240062
1323	86453	240031
1324	86523	239980
1325	86591	239921
1326	86656	239857
1327	86725	239800
1328	86795	239749
1329	86865	239696
1330	86936	239645
1331	87004	239588
1332	87070	239526
1333	87146	239489
1334	87225	239462
1335	87329	239502
1336	87410	239480
1337	87493	239461
1338	87565	239414
1339	87640	239375
1340	87718	239345
1341	87790	239296
1342	87861	239247
1343	87933	239200
1344	88001	239141
1345	88068	239080
1346	88139	239030
1347	88210	238980
1348	88282	238931
1349	88351	238876
1350	88421	238822
1351	88486	238756
1352	88565	238728
1353	88640	238687
1354	88711	238636
1355	88779	238578
1356	88844	238512
1357	88909	238444
1358	88977	238386
1359	89041	238315
1360	89106	238249
1361	89171	238184
1362	89240	238127
1363	89307	238065
1364	89372	237999
1365	89445	237952
1366	89517	237906
1367	89585	237847
1368	89655	237793
1369	89726	237742
1370	89798	237693
1371	89864	237629
1372	89928	237561
1373	89993	237493
1374	90059	237429
1375	90124	237361
1376	90190	237297
1377	90258	237239
1378	90327	237184
1379	90399	237134
1380	90468	237077
1381	90534	237014
1382	90603	236957
1383	90672	236902
1384	90745	236854
